dict,key
"dict_auto_hive2ddict_dache_anycar_ecr_add_minus_default_check_product","PASSENGER_1000081661952"
"dict_auto_hive2ddict_app_trip_rfm_feature","WC_USR_1000010485761"
"dict_auto_hive2ddict_psg_rfm_feat","psg_rfm_feat_100020566"
"dict_auto_hive2ddict_pasCallCombSeqWD30dV1","PASSENGER_5000197468249"
"dict_auto_hive2ddict_pas_price_propensity","PASSENGER_332856"
"dict_auto_hive2ddict_passenger_behavior_3060d","PASSENGER_ID_17598898766626"
"dict_auto_hive2ddict_pas_history_order_v10","passenger_phone_000001bc754781217268705be6ac7648"
"dict_auto_hive2ddict_finish_ord_seq_v2_1","finish_ord_original_seq_feat_13949"
"dict_auto_hive2ddict_pas_price","p_1000046657537"
"dict_auto_hive2ddict_pas_offline","p_1988"
"dict_auto_hive2ddict_pas_acc100","p_3555"
"dict_auto_hive2ddict_pas_singlesend_ratio_7d","p_2521272"
"dict_auto_hive2ddict_pas_singlesenf_ratio_30d","p_1384557"
"dict_auto_hive2ddict_passenger_info","PASSENGER_4348"
"dict_auto_hive2ddict_whs_pas_behavior_1","passenger_phone_b53a7c79402d85b068381b7f1ddf51bb"
"dict_auto_hive2ddict_whs_pas_behavior_product","passenger_phone_5053beb2942031f8416ba5726b6782dc"
